iter	F1	Logloss
75	0.8297671492	0.3629988012
76	0.8302124312	0.3624266691
77	0.8309726157	0.3618188891
78	0.8312096901	0.3611943153
79	0.8311034157	0.3608012004
80	0.8313404657	0.3602135628
81	0.8315243039	0.3597961638
82	0.8317080843	0.3594985115
83	0.8316302468	0.3590116143
84	0.8318667505	0.3585730378
85	0.8324426281	0.3582496878
86	0.832495286	0.3578577318
87	0.8330453903	0.3573327284
88	0.8331762488	0.3567818228
89	0.8331762488	0.3564363432
90	0.8340398807	0.3560959065
91	0.8338567839	0.3558393288
92	0.8341708543	0.3555361362
93	0.8339877493	0.3554397671
94	0.8338045869	0.3549370814
95	0.8339877493	0.3546218821
96	0.8338045869	0.3543736677
97	0.8341187559	0.3540682113
98	0.8341187559	0.3538061429
99	0.834564022	0.3534262776
100	0.8346951603	0.3531703551
101	0.835009428	0.3527109148
102	0.8354549741	0.3523356762
103	0.8360320704	0.3515846634
104	0.8359006602	0.3513266146
105	0.836163522	0.3511350845
106	0.8362950149	0.3509320067
107	0.8363464864	0.3506230546
108	0.8365293933	0.3503358578
109	0.8371069182	0.3498306833
110	0.8379185663	0.3494965493
111	0.8381821041	0.3492684658
112	0.8385981455	0.3489198365
113	0.8389124627	0.348641435
114	0.8382329822	0.3480470836
115	0.8384155926	0.3477250134
116	0.838496619	0.3474567087
117	0.8382838284	0.3472154718
118	0.8385981455	0.3469784015
119	0.8382329822	0.3467266058
120	0.8390949089	0.3463973272
121	0.8389937107	0.3462234282
122	0.8389937107	0.3462002039
123	0.8387299591	0.3460913829
124	0.8390949089	0.3459880631
125	0.8387806411	0.3458184828
126	0.8387299591	0.3456682628
127	0.8390949089	0.3454327088
128	0.8389630793	0.3452852495
129	0.838648861	0.3449281569
130	0.8392267798	0.3447068674
131	0.8394091766	0.3445897797
132	0.8394596293	0.3443611861
133	0.8394091766	0.344146392
134	0.8395915161	0.3437699968
135	0.8395915161	0.3436208481
136	0.8392267798	0.3433721906
137	0.8394091766	0.3430737854
138	0.8390949089	0.3429640299
139	0.8394091766	0.3427969658
140	0.8394596293	0.3426256845
141	0.8397234444	0.3424295035
142	0.8394401635	0.3421826534
143	0.8398554141	0.3419543397
144	0.8400377121	0.3417227223
145	0.8398554141	0.3416597376
146	0.8398554141	0.3414774487
147	0.8397546784	0.3412133194
148	0.8390750354	0.3410374406
149	0.839704263	0.3407742531
150	0.8401194781	0.3404927938
151	0.841062726	0.3401285878
152	0.840930525	0.3399966498
153	0.8419065597	0.3396896188
154	0.8420390183	0.3395791459
155	0.8418238994	0.3392815909
156	0.8418238994	0.3392761901
157	0.8417741428	0.3390057404
158	0.8424528302	0.3387105541
159	0.8426348058	0.3384665659
160	0.8429985856	0.3381794619
161	0.8428167243	0.3380368753
162	0.8426013195	0.3378273358
163	0.8429648241	0.3376822527
164	0.8427336999	0.3374948237
165	0.8429985856	0.3372813365
166	0.8429985856	0.3371077632
167	0.8428167243	0.3368734933
168	0.8429492218	0.3366462465
169	0.842899827	0.3364742619
170	0.8431310909	0.3361290378
171	0.8431310909	0.3360577687
172	0.8431803897	0.3359264694
173	0.8431803897	0.3356747622
174	0.8433962264	0.3352186217
175	0.8435780538	0.3350233605
176	0.8435288567	0.3348515862
177	0.8437942426	0.3346071374
178	0.8439269981	0.3344531137
179	0.8441088564	0.3342288854
180	0.8439269981	0.3340999562
181	0.8438433716	0.3339475161
182	0.8441926346	0.3338176914
183	0.8442416614	0.3335115111
184	0.8440251572	0.3332946589
185	0.8440251572	0.3332038575
186	0.8438924697	0.3329906701
187	0.8438924697	0.332702257
188	0.8440251572	0.3324815784
189	0.8440741905	0.3323123507
190	0.843759824	0.3321056294
191	0.8439905734	0.3317825884
192	0.8437106918	0.3314231251
193	0.8440251572	0.3313214024
194	0.8443396226	0.3311508295
195	0.8446540881	0.3309040723
196	0.8446540881	0.3306862081
197	0.8446052218	0.3305036789
198	0.8441578865	0.3303261918
199	0.8441578865	0.3300961511
200	0.8440251572	0.3298548533
201	0.8446052218	0.3296170893
202	0.844738084	0.3294242373
203	0.844738084	0.3290176593
204	0.844738084	0.3289204979
205	0.8446892211	0.328798408
206	0.8440597954	0.3285422209
207	0.8441088564	0.3281505395
208	0.8437942426	0.3279889306
209	0.8438778722	0.3278428002
210	0.8441926346	0.3276882087
211	0.844870988	0.3273922383
212	0.844870988	0.3272477811
213	0.8450526978	0.3270385665
214	0.8450526978	0.3268007191
215	0.8451856514	0.3265489031
216	0.8453186467	0.3263974648
217	0.845451684	0.3262771644
218	0.8455847631	0.3259396348
219	0.8458510471	0.325767587
220	0.845984252	0.3256019655
221	0.8462143869	0.325331141
222	0.8466624685	0.3250439868
223	0.8462992126	0.3249427009
224	0.8462992126	0.3247503303
225	0.845984252	0.3245844875
226	0.8464808692	0.3243067742
227	0.8462992126	0.3241440774
228	0.8462992126	0.3240129416
229	0.8466624685	0.3239181509
230	0.8467957802	0.323716234
231	0.8469291339	0.32360508
232	0.8470143375	0.3233921161
233	0.8473775398	0.3231742829
234	0.8475110271	0.3228802606
235	0.8475110271	0.3226683381
236	0.8475110271	0.3224567506
237	0.84769255	0.3222939273
238	0.8477405133	0.3221712797
239	0.8478740157	0.3220698382
240	0.8479219144	0.3219280281
241	0.8480554243	0.3217744435
242	0.8479219144	0.3215248304
243	0.8481889764	0.3214800876
244	0.8480075602	0.3213512392
245	0.8483703354	0.3212700475
246	0.848503937	0.3210095883
247	0.8483703354	0.3208570209
248	0.8482367758	0.3206701519
249	0.8482367758	0.3205728706
250	0.8480554243	0.3202648702
251	0.8482367758	0.3201285787
252	0.8482367758	0.3199433447
253	0.8483703354	0.3197224948
254	0.848503937	0.3194897546
255	0.848503937	0.3192961781
256	0.848503937	0.319124916
257	0.8487712665	0.3189430761
258	0.8491338583	0.3188032222
259	0.8492676012	0.3185379369
260	0.8492676012	0.3183567957
261	0.8494013863	0.3181874408
262	0.8494013863	0.3179822522
263	0.8495352135	0.3177301608
264	0.8495352135	0.3175012279
265	0.8493539237	0.3173443619
266	0.8493539237	0.3171684634
267	0.8495352135	0.3171131744
268	0.8495826114	0.3168479025
269	0.849220104	0.3166810455
270	0.8494013863	0.3165017152
271	0.8490863264	0.3163592385
272	0.848952591	0.316289345
273	0.8494488189	0.3161381984
274	0.8496773178	0.315956217
275	0.8496299795	0.3158498453
276	0.8498110831	0.3156742085
277	0.8498110831	0.3155622976
278	0.8503069416	0.3153389107
279	0.8502598016	0.3151544568
280	0.8507556675	0.3149372137
281	0.8502598016	0.3148383951
282	0.8503937008	0.3147990086
283	0.8503937008	0.314776554
284	0.8503937008	0.3146837715
285	0.850031506	0.3144570854
286	0.8502994012	0.314362545
287	0.850480542	0.3142287751
288	0.8506145604	0.3140562015
289	0.8506145604	0.3139103694
290	0.850480542	0.3137111222
291	0.8505276421	0.313533016
292	0.8506145604	0.3133542721
293	0.850748621	0.3133176337
294	0.850748621	0.3130959276
295	0.8505203406	0.3129389911
296	0.8500709443	0.3126168301
297	0.8502049827	0.3125447629
298	0.8504334121	0.3123748944
299	0.8508356985	0.3122433192
300	0.8509698786	0.3120631788
301	0.8503862526	0.3119732487
302	0.8505203406	0.3117939362
303	0.8511510564	0.3116237965
304	0.8513790386	0.311426743
305	0.8513790386	0.3114237348
306	0.8519627936	0.3112294634
307	0.8517817723	0.3110518355
308	0.8516474854	0.3108419311
309	0.85186938	0.310640913
310	0.8522315092	0.3104659561
311	0.8527278461	0.3103330501
312	0.8535393347	0.3101752353
313	0.8537200504	0.3100849769
314	0.8532702916	0.3099575975
315	0.8535855004	0.3098738395
316	0.8537661519	0.3096433436
317	0.8537661519	0.3094964365
318	0.8540813111	0.3093054228
319	0.854215918	0.3091709715
320	0.854215918	0.3090533403
321	0.8545769655	0.3088782634
322	0.8545769655	0.3087668874
323	0.854261856	0.3085829174
324	0.854261856	0.3084355124
325	0.8543505675	0.308184211
326	0.8543505675	0.3080848076
327	0.854442344	0.3078852327
328	0.854442344	0.3077437608
329	0.8545769655	0.3076154819
330	0.8548463357	0.3074712088
331	0.854665826	0.3073582275
332	0.854665826	0.3072424214
333	0.854892075	0.3070575284
334	0.8547116294	0.3069358008
335	0.8549810845	0.306676344
336	0.8551615445	0.3065585974
337	0.8549810845	0.3064390522
338	0.8551615445	0.3062910958
339	0.855296343	0.3061479914
340	0.855296343	0.3059613018
341	0.8551615445	0.3057507828
342	0.8553419477	0.3055911993
343	0.8552071845	0.3055023456
344	0.8554767533	0.3053380736
345	0.8552071845	0.305146344
346	0.8557919622	0.3049697659
347	0.8557919622	0.3048251202
348	0.85592686	0.3047187759
349	0.856107171	0.3046075308
350	0.8563318089	0.3043491062
351	0.8563318089	0.304340478
352	0.856466877	0.3042160115
353	0.8563318089	0.3040688428
354	0.8566472165	0.3039218167
355	0.8569174949	0.3037795759
356	0.8575934395	0.3036000502
357	0.8575934395	0.3034386066
358	0.8575031526	0.3032892612
359	0.8576832151	0.3031269065
360	0.8573680063	0.3030020866
361	0.8576832151	0.3029200366
362	0.8578184111	0.3028126774
363	0.8578184111	0.3027802491
364	0.8579536497	0.3026857854
365	0.8579088472	0.3024906367
366	0.8579088472	0.3024092099
367	0.8579993689	0.3022491169
368	0.8584950308	0.3021864887
369	0.8583149258	0.3020162351
370	0.8588105379	0.3018753068
371	0.8592615967	0.3016080511
372	0.8593059937	0.3014897118
373	0.8588105379	0.3013704264
374	0.8588105379	0.3013361845
375	0.8588105379	0.3013253627
376	0.8593059937	0.3011654064
377	0.8594858855	0.3010224016
378	0.8595301908	0.3008652306
379	0.8593503627	0.3007552363
380	0.8598012932	0.3006046489
381	0.8598012932	0.3005991287
382	0.8596214511	0.3005039971
383	0.8600725667	0.3004429779
384	0.8598927106	0.3002800433
385	0.8602082676	0.3001258124
386	0.8600725667	0.2999865709
387	0.8600725667	0.2998511666
388	0.8600725667	0.2997567411
389	0.8600725667	0.2995273056
390	0.8602082676	0.2994844404
391	0.8603880738	0.299277896
392	0.8602523659	0.2991564622
393	0.8603880738	0.2990179227
394	0.8603440114	0.2987644753
395	0.8602082676	0.2986656948
396	0.8605238246	0.298472115
397	0.8605238246	0.2984292441
398	0.8606596181	0.2982784935
399	0.8606596181	0.298172973
400	0.8609752249	0.2980206628
401	0.8611111111	0.297941098
402	0.8611111111	0.2977777559
403	0.8614704954	0.2975657823
404	0.8614704954	0.2974181156
405	0.8614704954	0.2972263134
406	0.8612908316	0.2969855515
407	0.8612908316	0.2968567265
408	0.8614267677	0.2967437114
409	0.8616064384	0.296636895
410	0.8614267677	0.2964661427
411	0.8614704954	0.2963248642
412	0.8614704954	0.2962254404
413	0.8614267677	0.2960892041
414	0.8612908316	0.2958518006
415	0.8614267677	0.2956594307
416	0.8614267677	0.2955610264
417	0.8614267677	0.2954605285
418	0.8619220451	0.295237793
419	0.8619220451	0.2951038954
420	0.8623737374	0.2949844666
421	0.8623737374	0.2949014342
422	0.8623737374	0.2948850909
423	0.8625098658	0.2947707407
424	0.8627822517	0.2946141494
425	0.8629617935	0.2945159767
426	0.8633207071	0.2943554133
427	0.863456985	0.2941808154
428	0.8627389038	0.2939927418
429	0.8627389038	0.2939911369
430	0.8627822517	0.2938674298
431	0.8627822517	0.2938623924
432	0.8630050505	0.2935687884
433	0.8631412786	0.2933811013
434	0.8634138639	0.293265739
435	0.863593306	0.2931846808
436	0.8636363636	0.2930384719
437	0.8640883978	0.2929144476
438	0.8642676768	0.2928337905
439	0.86417416	0.2926785475
440	0.864310508	0.2925321596
441	0.86417416	0.2924059329
442	0.8645833333	0.2922924981
443	0.8644468992	0.2921387152
444	0.8644468992	0.2921340397
445	0.8648051743	0.2920589772
446	0.8648051743	0.2920545439
447	0.8654786311	0.2919239151
448	0.865615142	0.2917530446
449	0.865615142	0.2915929082
450	0.8657940388	0.2914768283
451	0.865615142	0.2912998627
452	0.8657516959	0.2910818028
453	0.8652571789	0.2909724658
454	0.8652571789	0.2909438173
455	0.8650781127	0.2906513515
456	0.8658882928	0.2904090721
457	0.8662038498	0.2901676656
458	0.8662460568	0.2900536843
459	0.8662460568	0.2899197193
460	0.8662882371	0.2897692856
461	0.8661094465	0.2895644579
462	0.8661094465	0.2893842581
463	0.8662460568	0.2892582951
464	0.8662460568	0.2891312448
465	0.8664248541	0.2889677321
466	0.8662460568	0.2887885786
467	0.866918953	0.2885767123
468	0.8670556695	0.288458212
469	0.866918953	0.2883657192
470	0.8672343109	0.2881992472
471	0.8678115645	0.2879603763
472	0.8678115645	0.2878972594
473	0.8677165354	0.2877056499
474	0.8679899181	0.2876560449
475	0.8679483139	0.2875027904
476	0.8682634731	0.2874045004
477	0.868221942	0.2873242372
478	0.8682634731	0.2872592619
479	0.8684003152	0.2871780492
480	0.8680851064	0.2870286245
481	0.868715524	0.2868675707
482	0.868674129	0.2866424578
483	0.8684957427	0.2865455127
484	0.8685372005	0.286411309
485	0.868674129	0.2863049665
486	0.8689481154	0.2861653835
487	0.868674129	0.2860244028
488	0.8688111006	0.2859484589
489	0.8684957427	0.2858311596
490	0.8687697161	0.2856732407
491	0.8689067676	0.2855012328
492	0.8690438624	0.2853535568
493	0.8689067676	0.2852260412
494	0.8689067676	0.2852006781
495	0.8689067676	0.2851239951
496	0.8689067676	0.2849451103
497	0.8686327078	0.2848265092
498	0.8688111006	0.2847206762
499	0.8686327078	0.2846322166
